Nickname,Country,AS_Name,Version,OS,Consensus_Weight
Mahogany,NL,Pfcloud UG (haftungsbeschrankt),0.4.9.5,Linux,280000
0x90,DE,Hetzner Online GmbH,0.4.9.5,Linux,220000
emir,DE,dataforest GmbH,0.4.9.5,Linux,210000
freedomHostingByXOR,SC,"Datashield, Inc.",0.4.8.21,Linux,200000
th4r,DE,OVH SAS,0.4.8.16,Linux,190000
azadisrvs,DE,Hetzner Online GmbH,0.4.9.5,Linux,180000
Tor0x800,CZ,SH.cz s.r.o.,0.4.8.12,Linux,170000
ChocolateBit,CH,Init7 (Switzerland) Ltd.,0.4.9.5,Linux,170000
Exits4Privacy,NL,The Infrastructure Group B.V.,0.4.8.17,Linux,160000
Exits4Privacy,NL,The Infrastructure Group B.V.,0.4.8.17,Linux,160000
Augustiner1328,FI,Hetzner Online GmbH,0.4.9.5,Linux,160000
Exits4Privacy,NL,The Infrastructure Group B.V.,0.4.8.17,Linux,160000
greenlandstrong,DE,Leaseweb Deutschland GmbH,0.4.8.22,Linux,160000
alexf,DE,dataforest GmbH,0.4.9.5,Linux,160000
Exits4Privacy,NL,The Infrastructure Group B.V.,0.4.8.17,Linux,160000
blix,NL,WorldStream B.V.,0.4.8.12,Linux,160000
sutsuj,DE,Hetzner Online GmbH,0.4.8.21,FreeBSD,160000
Exits4Privacy,NL,The Infrastructure Group B.V.,0.4.8.17,Linux,160000
Exits4Privacy,NL,The Infrastructure Group B.V.,0.4.8.17,Linux,160000
trigun,NL,NForce Entertainment B.V.,0.4.9.5,Linux,160000
10dxx,NL,WorldStream B.V.,0.4.8.21,Linux,150000
Exits4Privacy,NL,The Infrastructure Group B.V.,0.4.8.17,Linux,150000
sabotage,NL,SABOTAGE LLC,0.4.8.21,Linux,150000
Smeerboel,NL,SURF B.V.,0.4.8.21,FreeBSD,150000
182f47bb12f9ad0a,NL,Macarne.com,0.4.8.21,Linux,150000
Thalcon,DE,OVH SAS,0.4.8.21,Linux,150000
torrelay583481,DE,Hetzner Online GmbH,0.4.8.21,Linux,150000
